state,avg_hum_spr,avg_hum_sum,avg_hum_fall,avg_hum_wint,avg_temp_spr,avg_temp_sum,avg_temp_fall,avg_temp_wint,avg_precip_spr,avg_precip_sum,avg_precip_fall,avg_precip_wint,avg_pressure_spr,avg_pressure_sum,avg_pressure_fall,avg_pressure_wint
Alabama,73.02197802,72.58241758,75.32608696,75.73913043,18.07692308,27.6043956,30.79347826,20.98913043,1.324175824,3.756043956,6.307608696,2.841304348,1021.978022,1016,1016.271739,1018.380435
Alaska,67.76923077,72.43956044,78.29347826,75.16304348,28.1978022,30,29.64130435,27.73913043,0.081318681,2.485714286,4.276086957,0.751086957,1014.450549,1012.296703,1012.597826,1013.26087
Arizona,82.16483516,77.15384615,79.89130435,81.67391304,25.58241758,29.05494505,28.7826087,27.02173913,2.626373626,2.19010989,1.85,3.127173913,1016.362637,1013.098901,1013.945652,1014.097826
Arkansas,58.30769231,68.10989011,68.30434783,67.55434783,10.82417582,26.07692308,30.90217391,12.57608696,0.231868132,1.501098901,1.282608696,0.541304348,1021.076923,1012.945055,1015.217391,1019.086957
California,42.68131868,34.84615385,24.76086957,39.19565217,15.53846154,27.31868132,35.01086957,18.01086957,0.228571429,0.002197802,0.014130435,0.129347826,1018.505495,1012.505495,1012.206522,1017.293478
Colorado,46.07692308,43.73626374,49.90217391,53.15217391,6.494505495,19.71428571,23.9673913,6.619565217,0.318681319,0.986813187,1.986956522,0.515217391,1017.78022,1013.010989,1017.48913,1019.086957
Connecticut,73.71428571,68.0989011,74.70652174,73.16304348,3.934065934,20.01098901,27.02173913,8.5,1.908791209,1.661538462,2.627173913,2.702173913,1019.10989,1015.747253,1019.01087,1017.630435
Delaware,75.78021978,71.18681319,78.43478261,76.65217391,3.967032967,21.93406593,26.51086957,8.967391304,1.993406593,2.806593407,2.967391304,2.089130435,1022.395604,1015.208791,1017.478261,1019.065217
Florida,63.78021978,77.76923077,74.13043478,75.52173913,24.6043956,22.67032967,23.38043478,23.06521739,1.186813187,5.889010989,6.381521739,3.484782609,1012.758242,1013.835165,1013.326087,1012.934783
Georgia,66.65934066,57.89010989,51.40217391,67.0326087,9.230769231,23,28.93478261,12.02173913,0.574725275,0.70989011,1.04673913,0.677173913,1018.549451,1015.285714,1013.934783,1022.086957
Hawaii,51.9010989,63.8021978,63.56521739,54.13043478,19.10989011,21.6043956,27.26086957,21.44565217,0.042857143,0,0.047826087,0.030434783,1018.406593,1013.989011,1012.967391,1016.576087
Idaho,70.46153846,52.14285714,30.61956522,65.07608696,2.351648352,18.87912088,28.04347826,4.717391304,0.153846154,0.485714286,0.108695652,0.195652174,1021.901099,1013.648352,1015.217391,1023.336957
Illinois,72.59340659,71.64835165,79.67391304,73.82608696,2.32967033,21.76923077,26.43478261,7.173913043,0.521978022,1.542857143,1.37826087,0.983695652,1022.274725,1014.340659,1016.793478,1018.934783
Indiana,74.93406593,73.30769231,83.19565217,76.52173913,4.461538462,22.49450549,26.27173913,9.467391304,1.254945055,1.853846154,2.225,0.945652174,1022.450549,1014.89011,1017.206522,1019.119565
Iowa,73.64835165,74.65934066,81.51086957,73.69565217,1.78021978,21.35164835,26.26086957,6.77173913,0.99010989,2.675824176,2.07826087,1.764130435,1022.43956,1014.285714,1016.76087,1019.01087
Kansas,65.04395604,66.17582418,69.58695652,69.42391304,6.472527473,24.84615385,29.45652174,9.97826087,0.324175824,1.253846154,2.118478261,1.00326087,1022.065934,1013.571429,1016.043478,1019.369565
Kentucky,28.16483516,39.02197802,36.33695652,24.09782609,32.98901099,23.40659341,20.23913043,30.9673913,0.173626374,0.075824176,0.002173913,0.002173913,1011,1018.164835,1021.032609,1014.271739
Louisiana,71.08791209,74.35164835,78.73913043,75.36956522,5.406593407,23.54945055,28.20652174,9.826086957,1.397802198,1.759340659,1.909782609,1.511956522,1022.417582,1014.274725,1016.717391,1019.228261
Maine,13.85714286,22.0989011,41.93478261,17.85869565,34.03296703,40.36263736,36.11956522,33.97826087,0,0.171428571,0.311956522,0.015217391,1011.527473,1008.032967,1010.413043,1012.271739
Maryland,68.74725275,67.68131868,73.30434783,71.44565217,6.516483516,25.06593407,29.42391304,10.91304348,1.650549451,1.801098901,2.4,1.477173913,1022.351648,1014.516484,1016.73913,1019.271739
Massachusetts,73.56043956,61.97802198,67.07608696,65.97826087,4.10989011,19.54945055,27.08695652,9.163043478,1.905494505,1.359340659,1.32826087,1.965217391,1018.252747,1015.593407,1019.032609,1017.119565
Michigan,76.35164835,76.79120879,83.76086957,77.75,1.593406593,17.26373626,23.48913043,6.5,0.808791209,2.498901099,2.691304348,1.439130435,1022.021978,1014.989011,1017.326087,1018.619565
Minnesota,83.51648352,83.01098901,85.0326087,80.54347826,-2.010989011,17.85714286,23.72826087,3.27173913,0.612087912,2.547252747,1.859782609,0.851086957,1022.703297,1014.901099,1016.597826,1018.880435
Mississippi,73.73626374,74.16483516,76.31521739,76.36956522,15.02197802,27.89010989,32.02173913,17.14130435,1.586813187,2.883516484,2.101086957,1.644565217,1022.373626,1015.857143,1016.576087,1019.065217
Missouri,72.86813187,72.43956044,77.17391304,74.69565217,19.30769231,29.52747253,32.05434783,20.4673913,0.116483516,0.272527473,0.772826087,0.32173913,1020.978022,1015.120879,1015.576087,1018.141304
Montana,79.03296703,68.31868132,56.06521739,72.2826087,5.835164835,22.73626374,26.54347826,10.29347826,1.232967033,0.905494505,0.59673913,0.677173913,1015.450549,1014.593407,1016.086957,1022.130435
Nebraska,76.65934066,76.21978022,84.20652174,77.45652174,5.395604396,22.51648352,26.38043478,10.06521739,0.958241758,1.051648352,1.460869565,0.856521739,1022.450549,1015.010989,1017.23913,1019.304348
Nevada,89.56043956,90.34065934,82,91.48913043,20.04395604,20.37362637,22.25,20.18478261,5.697802198,10.14285714,6.665217391,7.173913043,1010.978022,1011.934066,1011.097826,1011.413043
New_Hampshire,77.10989011,74.7032967,85.17391304,79.36956522,3.516483516,21.17582418,25.18478261,8.391304348,2.030769231,2.838461538,3.451086957,2.136956522,1022.351648,1015.076923,1017.326087,1019.032609
New_Jersey,68.75824176,63.75824176,67.76086957,66.41304348,5.043956044,19.93406593,27.65217391,10.84782609,2.052747253,1.502197802,3.161956522,3.357608696,1020.153846,1016.021978,1018.771739,1018.25
New_Mexico,55.57142857,69.24175824,66.7826087,58.81521739,30.0989011,19.74725275,16.7826087,26.75,0.737362637,0.151648352,0.504347826,1.014130435,1013.692308,1021.461538,1019.532609,1014.065217
New_York,68.32967033,63.20879121,67.14130435,65.85869565,5.10989011,19.91208791,27.72826087,11.02173913,1.949450549,1.745054945,3.732608696,3.405434783,1020.087912,1016.021978,1018.76087,1018.23913
North_Carolina,70.53846154,74.34065934,78.25,76.9673913,11.10989011,25.34065934,29.2826087,14.35869565,1.791208791,1.761538462,3.133695652,2.372826087,1022.32967,1016.230769,1018.021739,1019.641304
North_Dakota,74.86813187,77.37362637,85.2826087,77.59782609,0.989010989,19.20879121,24.65217391,5.695652174,0.526373626,1.779120879,1.47826087,0.722826087,1022.230769,1014.868132,1017,1018.728261
Ohio,76.59340659,73.27472527,83.55434783,77.30434783,3.274725275,21.21978022,25.59782609,8.260869565,0.615384615,1.062637363,1.325,0.520652174,1022.175824,1015.032967,1017.380435,1018.815217
Oklahoma,57.40659341,64.14285714,66.10869565,64.68478261,12.28571429,27.27472527,31.33695652,13.88043478,0.778021978,1.851648352,2.82173913,1.041304348,1020.967033,1013.065934,1014.978261,1018.858696
Oregon,76.86813187,65.6043956,57.67391304,70.81521739,9.527472527,19.48351648,26.07608696,12.5,2.78021978,1.076923077,0.211956522,2.769565217,1019.263736,1017.43956,1017.271739,1020.021739
Pennsylvania,76.92307692,77.61538462,84.02173913,82.09782609,3.10989011,19.64835165,25.02173913,7.304347826,1.796703297,2.161538462,3.245652174,2.55,1021.527473,1016.087912,1018.945652,1019.01087
Rhode_Island,73.54945055,72.78021978,77.94565217,71.31521739,5,17.98901099,25.70652174,9.967391304,1.372527473,0.559340659,1.255434783,0.82173913,1018.373626,1015.868132,1019.065217,1017.25
South_Carolina,62.34065934,47.38461538,37.08695652,47.81521739,25.76923077,20.76923077,22.34782609,26.85869565,1.256043956,0.216483516,0.034782609,1.607608696,1014.846154,1021.274725,1021.684783,1016.554348
South_Dakota,82.82417582,73.10989011,67.45652174,75.22826087,-4.131868132,18.6043956,25.88043478,2.597826087,0.597802198,1.620879121,1.410869565,0.619565217,1023.307692,1014.43956,1015.576087,1019.51087
Tennessee,72.27472527,73.7032967,81.19565217,74.27173913,3.549450549,22.67032967,26.9673913,8.413043478,0.203296703,0.382417582,0.515217391,0.248913043,1022.417582,1014.274725,1016.663043,1019.130435
Texas,76.53846154,73.71428571,75,74.85869565,18.07692308,27.36263736,30.58695652,20.92391304,1.543956044,2.212087912,7.352173913,2.535869565,1020.956044,1015.186813,1015.597826,1017.826087
Utah,65.43956044,42.38461538,27.72826087,45.92391304,-1.384615385,14.30769231,19.63043478,3.554347826,0.478021978,0.427472527,0.005434783,0.227173913,1021.175824,1013.956044,1010.945652,1022.086957
Vermont,74.31868132,76.54945055,76.76086957,75.54347826,26.24175824,27.2967033,28.34782609,27.64130435,0.995604396,0.863736264,1.192391304,1.4,1015.978022,1016.637363,1015.271739,1014.630435
Virginia,75.75824176,77.53846154,77.88043478,73.44565217,8.032967033,21.23076923,27.86956522,15.05434783,0.275824176,0.56043956,0.877173913,0.556521739,1021.692308,1016.340659,1018.032609,1019.108696
Washington,63.43956044,62.25274725,67.63043478,66.44565217,8.087912088,24.50549451,29.9673913,12.70652174,0.891208791,3.168131868,3.425,1.62173913,1021.56044,1016.043956,1018.478261,1019.184783
West_Virginia,74.15384615,76.86813187,81.27173913,77.93478261,5.21978022,20.71428571,25.84782609,9.173913043,1.801098901,2.791208791,2.754347826,2.057608696,1021.857143,1015.956044,1018.586957,1019.271739
Wisconsin,80.85714286,78.54945055,79.43478261,79.01086957,-1.747252747,17.47252747,24.43478261,3.217391304,0.254945055,1.153846154,1.456521739,0.692391304,1022.318681,1015.384615,1016.815217,1018.543478
Wyoming,75.51648352,75.74725275,77.56521739,78.95652174,1.362637363,18.02197802,25.26086957,5.934782609,1,1.356043956,1.365217391,1.119565217,1021.505495,1015.230769,1017.184783,1018.271739